service_id,date,exception_type
G2510S_I43,20260110,1
G2510S_I43,20260117,1
G2510S_I43,20260124,1
G2510S_I43,20260131,1
G2510S_I52,20251227,1
G2510S_I52,20260103,1
G2511D_D13,20251228,1
G2511D_D13,20260104,1
G2511F_J2,20251225,1
G2511F_J2,20260101,1
G2511L_H2,20251226,1
G2511L_H2,20251229,1
G2511L_H2,20251230,1
G2511L_H2,20260102,1
G2511L_H2,20260107,1
G2511L_H4,20260108,1
G2511L_H4,20260109,1
G2511L_H4,20260112,1
G2511L_H4,20260113,1
G2511L_H4,20260114,1
G2511L_H4,20260115,1
G2511L_H4,20260116,1
G2511L_H4,20260119,1
G2511L_H4,20260120,1
G2511L_H4,20260121,1
G2511L_H4,20260122,1
G2511L_H4,20260123,1
G2511L_H4,20260126,1
G2511L_H4,20260127,1
G2511L_H4,20260128,1
G2511L_H4,20260129,1
G2511L_H4,20260130,1
G2512L_I27,20251224,1
G2512L_I27,20251231,1
G2601D_A3,20260111,1
G2601D_A3,20260118,1
G2601D_A3,20260125,1
G2601F_A0,20260106,1
G2601L_A3,20260105,1
