route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,G2510S_I43,G2510S_I43_001-01_2,San Andrés,0,001-01,14
1,G2510S_I43,G2510S_I43_001-01_3,Parque del Sur,1,001-01,12
1,G2510S_I43,G2510S_I43_001-01_4,San Andrés,0,001-01,14
1,G2510S_I43,G2510S_I43_001-01_5,Parque del Sur,1,001-01,12
1,G2510S_I43,G2510S_I43_001-01_6,San Andrés,0,001-01,14
1,G2510S_I43,G2510S_I43_001-01_7,Parque del Sur,1,001-01,12
1,G2510S_I43,G2510S_I43_001-01_8,San Andrés,0,001-01,14
1,G2510S_I43,G2510S_I43_001-01_9,Parque del Sur,1,001-01,12
1,G2510S_I43,G2510S_I43_001-01_10,San Andrés,0,001-01,14
1,G2510S_I43,G2510S_I43_001-01_11,Parque del Sur,1,001-01,12
1,G2510S_I43,G2510S_I43_001-01_12,San Andrés,0,001-01,14
1,G2510S_I43,G2510S_I43_001-02_2,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-02_3,Parque del Sur,1,001-02,12
1,G2510S_I43,G2510S_I43_001-02_4,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-02_5,Parque del Sur,1,001-02,12
1,G2510S_I43,G2510S_I43_001-02_6,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-02_7,Parque del Sur,1,001-02,12
1,G2510S_I43,G2510S_I43_001-02_8,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-02_9,Parque del Sur,1,001-02,12
1,G2510S_I43,G2510S_I43_001-02_10,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-02_11,Parque del Sur,1,001-02,12
1,G2510S_I43,G2510S_I43_001-02_12,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-02_13,Parque del Sur,1,001-02,12
1,G2510S_I43,G2510S_I43_001-02_14,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-02_15,Parque del Sur,1,001-02,12
1,G2510S_I43,G2510S_I43_001-02_16,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-02_17,Parque del Sur,1,001-02,12
1,G2510S_I43,G2510S_I43_001-02_18,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-02_19,Parque del Sur,1,001-02,12
1,G2510S_I43,G2510S_I43_001-02_20,San Andrés,0,001-02,14
1,G2510S_I43,G2510S_I43_001-03_2,Parque del Sur,1,001-03,12
1,G2510S_I43,G2510S_I43_001-03_3,San Andrés,0,001-03,14
1,G2510S_I43,G2510S_I43_001-03_4,Parque del Sur,1,001-03,12
1,G2510S_I43,G2510S_I43_001-03_5,San Andrés,0,001-03,14
1,G2510S_I43,G2510S_I43_001-03_6,Parque del Sur,1,001-03,12
1,G2510S_I43,G2510S_I43_001-03_7,San Andrés,0,001-03,14
1,G2510S_I43,G2510S_I43_001-03_8,Parque del Sur,1,001-03,12
1,G2510S_I43,G2510S_I43_001-03_9,San Andrés,0,001-03,14
1,G2510S_I43,G2510S_I43_001-03_10,Parque del Sur,1,001-03,12
1,G2510S_I43,G2510S_I43_001-03_11,San Andrés,0,001-03,14
1,G2510S_I43,G2510S_I43_001-03_12,Parque del Sur,1,001-03,12
1,G2510S_I43,G2510S_I43_001-03_13,San Andrés,0,001-03,14
1,G2510S_I43,G2510S_I43_001-03_14,Parque del Sur,1,001-03,12
1,G2510S_I43,G2510S_I43_001-03_15,San Andrés,0,001-03,14
1,G2510S_I43,G2510S_I43_001-03_16,Parque del Sur,1,001-03,12
1,G2510S_I43,G2510S_I43_001-03_17,San Andrés,0,001-03,14
1,G2510S_I43,G2510S_I43_001-03_18,Parque del Sur,1,001-03,12
1,G2510S_I43,G2510S_I43_001-04_2,San Andrés,0,001-04,14
1,G2510S_I43,G2510S_I43_001-04_3,Parque del Sur,1,001-04,12
1,G2510S_I43,G2510S_I43_001-04_4,San Andrés,0,001-04,14
1,G2510S_I43,G2510S_I43_001-04_5,Parque del Sur,1,001-04,12
1,G2510S_I43,G2510S_I43_001-04_6,San Andrés,0,001-04,14
1,G2510S_I43,G2510S_I43_001-04_7,Parque del Sur,1,001-04,12
1,G2510S_I43,G2510S_I43_001-04_8,San Andrés,0,001-04,14
1,G2510S_I43,G2510S_I43_001-04_9,Parque del Sur,1,001-04,12
1,G2510S_I43,G2510S_I43_001-04_10,San Andrés,0,001-04,14
1,G2510S_I43,G2510S_I43_001-04_11,Parque del Sur,1,001-04,12
1,G2510S_I43,G2510S_I43_001-04_12,San Andrés,0,001-04,14
1,G2510S_I43,G2510S_I43_001-04_13,Parque del Sur,1,001-04,12
1,G2510S_I43,G2510S_I43_001-04_14,San Andrés,0,001-04,14
1,G2510S_I43,G2510S_I43_001-04_15,Parque del Sur,1,001-04,12
1,G2510S_I43,G2510S_I43_001-04_16,San Andrés,0,001-04,14
1,G2510S_I43,G2510S_I43_001-04_17,Parque del Sur,1,001-04,12
1,G2510S_I43,G2510S_I43_001-04_18,San Andrés,0,001-04,14
1,G2510S_I43,G2510S_I43_001-05_2,Parque del Sur,1,001-05,12
1,G2510S_I43,G2510S_I43_001-05_3,San Andrés,0,001-05,14
1,G2510S_I43,G2510S_I43_001-05_4,Parque del Sur,1,001-05,12
1,G2510S_I43,G2510S_I43_001-05_5,San Andrés,0,001-05,14
1,G2510S_I43,G2510S_I43_001-05_6,Parque del Sur,1,001-05,12
1,G2510S_I43,G2510S_I43_001-05_7,San Andrés,0,001-05,14
1,G2510S_I43,G2510S_I43_001-05_8,Parque del Sur,1,001-05,12
1,G2510S_I43,G2510S_I43_001-05_9,San Andrés,0,001-05,14
1,G2510S_I43,G2510S_I43_001-05_10,Parque del Sur,1,001-05,12
1,G2510S_I43,G2510S_I43_001-05_11,San Andrés,0,001-05,14
1,G2510S_I43,G2510S_I43_001-05_12,Parque del Sur,1,001-05,12
1,G2510S_I43,G2510S_I43_001-05_13,San Andrés,0,001-05,14
1,G2510S_I43,G2510S_I43_001-05_14,Parque del Sur,1,001-05,12
